status,energia,czas,generacja_pradu,zuzycie_urzadzen,stan_baterii
Pobór z sieci,201.92071213032682,,,,
,,2025-01-29 14:24:13.816156,965.7592878696732,1167.68,0.0
Ładowanie baterii,1442.9964597265898,,,,
,,2025-01-29 15:24:13.816156,1491.1764597265899,48.18,1442.9964597265898
,,2025-01-29 16:24:13.816156,892.0656336869038,1458.0,877.0620934134936
Ładowanie baterii,646.3942983463328,,,,
,,2025-01-29 17:24:13.816156,694.5742983463327,48.18,1523.4563917598264
Ładowanie baterii,638.8033937715164,,,,
,,2025-01-29 18:24:13.816156,686.9833937715164,48.18,2162.259785531343
Ładowanie baterii,336.7863110737997,,,,
,,2025-01-29 19:24:13.816156,384.9663110737997,48.18,2499.046096605143
Ładowanie baterii,252.01736623443185,,,,
,,2025-01-29 20:24:13.816156,300.19736623443185,48.18,2751.0634628395746
Ładowanie baterii,14.704832924291672,,,,
,,2025-01-29 21:24:13.816156,62.88483292429167,48.18,2765.7682957638663
Ładowanie baterii,1.8528943724053235,,,,
,,2025-01-29 22:24:13.816156,50.03289437240532,48.18,2767.6211901362717
,,2025-01-29 23:24:13.816156,0.0,48.18,2719.441190136272
,,2025-01-30 00:24:13.816156,0.0,48.18,2671.261190136272
,,2025-01-30 01:24:13.816156,0.0,48.18,2623.081190136272
,,2025-01-30 02:24:13.816156,0.0,48.18,2574.9011901362724
,,2025-01-30 03:24:13.816156,0.0,48.18,2526.7211901362725
,,2025-01-30 04:24:13.816156,0.0,48.18,2478.5411901362727
,,2025-01-30 05:24:13.816156,0.0,48.18,2430.361190136273
,,2025-01-30 06:24:13.816156,0.0,48.18,2382.181190136273
,,2025-01-30 07:24:13.816156,0.0,48.18,2334.001190136273
,,2025-01-30 08:24:13.816156,0.0,48.18,2285.8211901362733
,,2025-01-30 09:24:13.816156,0.0,48.18,2237.6411901362735
,,2025-01-30 10:24:13.816156,0.0,48.18,2189.4611901362737
,,2025-01-30 11:24:13.816156,0.0,48.18,2141.281190136274
,,2025-01-30 12:24:13.816156,0.0,48.18,2093.101190136274
,,2025-01-30 13:24:13.816156,0.0,48.18,2044.921190136274
