Data,Generacja prądu kWh
"Monday, January 1, 2024",0
"Tuesday, January 2, 2024",0
"Wednesday, January 3, 2024",0
"Thursday, January 4, 2024",0
"Friday, January 5, 2024",0
"Saturday, January 6, 2024",0
"Sunday, January 7, 2024",0
"Monday, January 8, 2024",0
"Tuesday, January 9, 2024",0
"Wednesday, January 10, 2024",0
"Thursday, January 11, 2024",0
"Friday, January 12, 2024",0
"Saturday, January 13, 2024",0
"Sunday, January 14, 2024",0
"Monday, January 15, 2024",0
"Tuesday, January 16, 2024",0
"Wednesday, January 17, 2024",0
"Thursday, January 18, 2024",0
"Friday, January 19, 2024",0
"Saturday, January 20, 2024",0
"Sunday, January 21, 2024",0
"Monday, January 22, 2024",0
"Tuesday, January 23, 2024",0
"Wednesday, January 24, 2024",0
"Thursday, January 25, 2024",0
"Friday, January 26, 2024",0
"Saturday, January 27, 2024",0
"Sunday, January 28, 2024",0
"Monday, January 29, 2024",0
"Tuesday, January 30, 2024",0
"Wednesday, January 31, 2024",0
"Thursday, February 1, 2024",0
"Friday, February 2, 2024",0
"Saturday, February 3, 2024",0
"Sunday, February 4, 2024",0
"Monday, February 5, 2024",0
"Tuesday, February 6, 2024",0
"Wednesday, February 7, 2024",0
"Thursday, February 8, 2024",0
"Friday, February 9, 2024",0
"Saturday, February 10, 2024",0
"Sunday, February 11, 2024",0
"Monday, February 12, 2024",0
"Tuesday, February 13, 2024",2.59
"Wednesday, February 14, 2024",5.3
"Thursday, February 15, 2024",3.54
"Friday, February 16, 2024",5.37
"Saturday, February 17, 2024",1.5
"Sunday, February 18, 2024",5.9
"Monday, February 19, 2024",0
"Tuesday, February 20, 2024",0
"Wednesday, February 21, 2024",0
"Thursday, February 22, 2024",0
"Friday, February 23, 2024",0
"Saturday, February 24, 2024",0
"Sunday, February 25, 2024",0
"Monday, February 26, 2024",0
"Tuesday, February 27, 2024",0
"Wednesday, February 28, 2024",0
"Thursday, February 29, 2024",0
"Friday, March 1, 2024",0
"Saturday, March 2, 2024",0
"Sunday, March 3, 2024",0
"Monday, March 4, 2024",0
"Tuesday, March 5, 2024",0
"Wednesday, March 6, 2024",0
"Thursday, March 7, 2024",0
"Friday, March 8, 2024",0
"Saturday, March 9, 2024",0
"Sunday, March 10, 2024",0
"Monday, March 11, 2024",0
"Tuesday, March 12, 2024",0
"Wednesday, March 13, 2024",0
"Thursday, March 14, 2024",0
"Friday, March 15, 2024",0
"Saturday, March 16, 2024",0
"Sunday, March 17, 2024",0
"Monday, March 18, 2024",0
"Tuesday, March 19, 2024",0
"Wednesday, March 20, 2024",0
"Thursday, March 21, 2024",0
"Friday, March 22, 2024",0
"Saturday, March 23, 2024",0
"Sunday, March 24, 2024",0
"Monday, March 25, 2024",0
"Tuesday, March 26, 2024",0
"Wednesday, March 27, 2024",0
"Thursday, March 28, 2024",0
"Friday, March 29, 2024",0
"Saturday, March 30, 2024",0
"Sunday, March 31, 2024",0
"Monday, April 1, 2024",0
"Tuesday, April 2, 2024",0
"Wednesday, April 3, 2024",0
"Thursday, April 4, 2024",0
"Friday, April 5, 2024",0
"Saturday, April 6, 2024",0
"Sunday, April 7, 2024",0
"Monday, April 8, 2024",0
"Tuesday, April 9, 2024",0
"Wednesday, April 10, 2024",0
"Thursday, April 11, 2024",0
"Friday, April 12, 2024",0
"Saturday, April 13, 2024",0
"Sunday, April 14, 2024",0
"Monday, April 15, 2024",0
"Tuesday, April 16, 2024",0
"Wednesday, April 17, 2024",0
"Thursday, April 18, 2024",0
"Friday, April 19, 2024",0
"Saturday, April 20, 2024",0
"Sunday, April 21, 2024",0
"Monday, April 22, 2024",0
"Tuesday, April 23, 2024",0
"Wednesday, April 24, 2024",0
"Thursday, April 25, 2024",0
"Friday, April 26, 2024",0
"Saturday, April 27, 2024",0
"Sunday, April 28, 2024",0
"Monday, April 29, 2024",0
"Tuesday, April 30, 2024",0
"Wednesday, May 1, 2024",23.7
"Thursday, May 2, 2024",20.39
"Friday, May 3, 2024",21.13
"Saturday, May 4, 2024",23.25
"Sunday, May 5, 2024",20.75
"Monday, May 6, 2024",16.22
"Tuesday, May 7, 2024",18.9
"Wednesday, May 8, 2024",24.75
"Thursday, May 9, 2024",25.68
"Friday, May 10, 2024",14.41
"Saturday, May 11, 2024",17.22
"Sunday, May 12, 2024",26.74
"Monday, May 13, 2024",26.59
"Tuesday, May 14, 2024",20.59
"Wednesday, May 15, 2024",26.7
"Thursday, May 16, 2024",27.81
"Friday, May 17, 2024",27.06
"Saturday, May 18, 2024",23.42
"Sunday, May 19, 2024",22.11
"Monday, May 20, 2024",20.77
"Tuesday, May 21, 2024",25.87
"Wednesday, May 22, 2024",19.57
"Thursday, May 23, 2024",7.98
"Friday, May 24, 2024",24.97
"Saturday, May 25, 2024",20.46
"Sunday, May 26, 2024",24.26
"Monday, May 27, 2024",28.01
"Tuesday, May 28, 2024",18.51
"Wednesday, May 29, 2024",17.57
"Thursday, May 30, 2024",22.76
"Friday, May 31, 2024",19.02
"Saturday, June 1, 2024",15.23
"Sunday, June 2, 2024",19.51
"Monday, June 3, 2024",21.28
"Tuesday, June 4, 2024",10.8
"Wednesday, June 5, 2024",26.53
"Thursday, June 6, 2024",24.26
"Friday, June 7, 2024",22.31
"Saturday, June 8, 2024",27.9
"Sunday, June 9, 2024",26.6
"Monday, June 10, 2024",15.68
"Tuesday, June 11, 2024",24.45
"Wednesday, June 12, 2024",19.03
"Thursday, June 13, 2024",12.55
"Friday, June 14, 2024",18.24
"Saturday, June 15, 2024",27.58
"Sunday, June 16, 2024",19.19
"Monday, June 17, 2024",28.52
"Tuesday, June 18, 2024",21.94
"Wednesday, June 19, 2024",20.83
"Thursday, June 20, 2024",25.8
"Friday, June 21, 2024",26.9
"Saturday, June 22, 2024",16.73
"Sunday, June 23, 2024",22.78
"Monday, June 24, 2024",14.81
"Tuesday, June 25, 2024",22.86
"Wednesday, June 26, 2024",25.76
"Thursday, June 27, 2024",23.5
"Friday, June 28, 2024",17.87
"Saturday, June 29, 2024",27.51
"Sunday, June 30, 2024",22.66
"Monday, July 1, 2024",14.82
"Tuesday, July 2, 2024",14.95
"Wednesday, July 3, 2024",11.92
"Thursday, July 4, 2024",15.87
"Friday, July 5, 2024",27.48
"Saturday, July 6, 2024",22.75
