Date,E 00:00:00,A 00:00:00,E 01:00:00,A 01:00:00,E 02:00:00,A 02:00:00,E 03:00:00,A 03:00:00,E 04:00:00,A 04:00:00,E 05:00:00,A 05:00:00,E 06:00:00,A 06:00:00,E 07:00:00,A 07:00:00,E 08:00:00,A 08:00:00,E 09:00:00,A 09:00:00,E 10:00:00,A 10:00:00,E 11:00:00,A 11:00:00,E 12:00:00,A 12:00:00,E 13:00:00,A 13:00:00,E 14:00:00,A 14:00:00,E 15:00:00,A 15:00:00,E 16:00:00,A 16:00:00,E 17:00:00,A 17:00:00,E 18:00:00,A 18:00:00,E 19:00:00,A 19:00:00,E 20:00:00,A 20:00:00,E 21:00:00,A 21:00:00,E 22:00:00,A 22:00:00,E 23:00:00,A 23:00:00,
2024-01-01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.88,131.06,7.13,143.39,11.75,156.57,14.36,170.48,14.75,184.72,12.88,198.80,8.91,212.26,3.17,224.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.90,130.92,7.17,143.25,11.80,156.44,14.43,170.36,14.84,184.62,12.98,198.71,9.03,212.19,3.30,224.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.92,130.78,7.21,143.12,11.86,156.31,14.51,170.23,14.94,184.51,13.10,198.62,9.15,212.12,3.43,224.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.95,130.64,7.26,142.98,11.92,156.18,14.60,170.11,15.04,184.41,13.22,198.54,9.28,212.06,3.57,224.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.99,130.50,7.31,142.84,12.00,156.05,14.69,169.99,15.16,184.31,13.34,198.46,9.42,212.00,3.71,224.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.04,130.35,7.37,142.70,12.08,155.91,14.79,169.88,15.28,184.21,13.48,198.38,9.56,211.94,3.86,224.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.09,130.20,7.44,142.56,12.17,155.78,14.90,169.76,15.40,184.11,13.62,198.31,9.71,211.89,4.02,224.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.15,130.05,7.52,142.41,12.27,155.65,15.02,169.64,15.54,184.01,13.76,198.23,9.87,211.84,4.18,224.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.21,129.90,7.60,142.27,12.37,155.51,15.14,169.52,15.68,183.92,13.92,198.16,10.03,211.80,4.35,224.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.29,129.74,7.70,142.12,12.48,155.38,15.27,169.41,15.82,183.82,14.08,198.10,10.20,211.76,4.52,224.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.37,129.59,7.80,141.97,12.60,155.24,15.41,169.29,15.98,183.73,14.25,198.04,10.38,211.72,4.70,224.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.46,129.43,7.90,141.82,12.72,155.11,15.56,169.18,16.14,183.65,14.42,197.98,10.56,211.69,4.88,224.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.55,129.27,8.01,141.67,12.86,154.97,15.71,169.06,16.31,183.56,14.60,197.92,10.74,211.66,5.07,224.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.65,129.10,8.13,141.52,13.00,154.84,15.87,168.95,16.48,183.48,14.78,197.87,10.93,211.64,5.26,224.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2024-01-15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.76,128.94,8.26,141.37,13.14,154.70,16.03,168.84,16.67,183.40,14.98,197.82,11.13,211.63,5.46,224.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
